//1000	1150	0	1001	0	1000 145 413 0
1000	1150	0	1001	0	40000 112 303 0
//法宝曙光战魂
1150	1151	0	501	0	1110010 13 1 9 255 255 0 0 9 9 9 9
//法宝帝龙之泪
1151	1152	0	501	0	1110110 14 1 9 255 255 0 0 9 9 9 9
//法宝圣耀符文
1152	1110	0	501	0	1110210 15 1 9 255 255 0 0 9 9 9 9
//改变发型
1110	1111	0	1503	0	hair 174
//给一个灵魂王
1111	1112	0	501	0	1037169 50

//神等级20级
1112	1001	0	1503	0	godlevel = 20
//法师装备
1001	1002	1020	1501	0	10
//给予一套精品、魔魂等级+9、二洞，地、水、风、火攻击+9装备 
//星虚魔阵
1002	1003	0	501	0	115043 1 1 9 255 255 0 0 9 9 9 9
//帝王项链
1003	1004	0	501	0	125043 2 1 9 255 255 0 0 9 9 9 9
//竞技装
1004	1005	0	501	0	135043 3 1 9 255 255 0 0 9 9 9 9
//鉴心杖
1005	1006	0	501	0	440103 4 1 9 255 255 0 0 9 9 9 9
//幻蓝天霞
1006	1007	0	501	0	145043 7 1 9 255 255 0 0 9 9 9 9
//白色宁静
1007	1008	0	501	0	165033 8 1 9 255 255 0 0 9 9 9 9
//设置125级
1008	1009	0	1503	0	level = 125
//给二个法师攻防型幻兽
1009	1010	0	2501	0	1071220 2
1010	5050	0	0	0	0
//战士装备
1020	1021	1040	1501	0	20
//给予一套精品、魔魂等级+9、二洞，地、水、风、火攻击+9装备 
//龙翼圣痕
1021	1022	0	501	0	111043 1 1 9 255 255 0 0 9 9 9 9
//火曈战符
1022	1023	0	501	0	121043 2 1 9 255 255 0 0 9 9 9 9
//歌德战甲
1023	1024	0	501	0	131043 3 1 9 255 255 0 0 9 9 9 9
//斩首者
1024	1025	0	501	0	410103 4 1 9 255 255 0 0 9 9 9 9
//飞煌手镯
1025	1026	0	501	0	141043 7 1 9 255 255 0 0 9 9 9 9
//龙神御风
1026	1027	0	501	0	161093 8 1 9 255 255 0 0 9 9 9 9
1027	1028	0	1503	0	level = 125
//红诛剑放在背包
1028	1029	0	501	0	420103 50 1 9 255 255 0 0 9 9 9 9
//给二个战士攻防型幻兽
1029	1030	0	2501	0	1071020 2
1030	5000	0	0	0	0

//异能者装备
1040	1041	1060	1501	0	30
//给予一套精品、魔魂等级+9、二洞，地、水、风、火攻击+9装备 
//死灵怒火
