1000	1001	0	1001	0	1000 145 413 0
1001	1005	0	501	0	729000 50 1
1005	1002	0	1503	0	level = 1
1002	1003	1010	1501	0	10

1004	0	0	0	0	0
//法师
1003	1060	0	2501	0	1071220 2
1060	1061	0	501	0	440000 1 1
1061	1004	0	501	0	135300 3 1


1010	1011	1020	1501	0	20
//战士
1011	1070	0	2501	0	1071020 2
1070	1071	0	501	0	410000 4 1
1071	1004	0	501	0	131300 3 1
//异能者
1020	1021	1030	1501	0	30
1021	1080	0	2501	0	1071300 2
1080	1081	0	501	0	490000 4 1
1081	1004	0	501	0	133300 3 1
//血族
1030	1031	1040	1501	0	50
1031	1090	0	2501	0	1072210 2
1090	1091	0	501	0	450000 4 1
1091	1004	0	501	0	137300 3 1
//亡灵巫师
1040	1041	1050	1501	0	60
1041	1300	0	2501	0	1072220 2
1300	1301	0	501	0	430000 4 1
1301	1004	0	501	0	139300 3 1
//暗黑龙骑
1050	1051	0	1501	0	70
1051	1310	0	2501	0	1072560 2
1310	1311	0	501	0	480000 4 1
1311	1004	0	501	0	132300 3 1
